word	start_s	end_s
HIS	42.025	42.125
MASTER	42.185	42.585
AND	42.725	42.806
MISTRESS	42.846	43.206
OFF	43.286	43.406
THE	43.426	43.526
GROUNDS	43.567	43.967
IN	44.287	44.327
A	44.388	44.448
CARRIAGE	44.488	44.908
AND	45.068	45.149
PAIR	45.209	45.469
A	46.671	46.691
LARGE	46.751	47.151
OPEN	47.371	47.572
FIREPLACE	47.672	48.292
WITH	48.412	48.533
RUSTY	48.613	48.893
DOGS	48.953	49.253
IN	49.333	49.373
IT	49.474	49.534
AND	50.174	50.274
A	50.314	50.374
BARE	50.394	50.655
BOARDED	50.775	51.095
FLOOR	51.215	51.556
AT	53.277	53.337
THE	53.357	53.437
FAR	53.498	53.698
END	53.878	54.018
FLEECES	54.539	54.959
OF	54.979	55.019
WOOL	55.099	55.319
STACKED	55.480	55.820
UP	55.960	56.020
IN	57.421	57.462
THE	57.522	57.602
MIDDLE	57.642	57.862
OF	57.902	57.982
THE	57.982	58.062
FLOOR	58.122	58.422
SOME	58.883	59.063
EMPTY	59.123	59.343
CORN	59.423	59.624
BAGS	59.704	60.064
AND	61.390	61.450
WHAT	61.531	61.672
THROUGH	61.753	61.934
THE	61.974	62.034
LEFT	62.055	62.256
HAND	62.296	62.457
WINDOW	62.538	62.900
SEVERAL	64.046	64.326
CLOTHES	64.406	64.707
HORSES	64.747	65.187
A	65.848	65.868
PILLION	65.928	66.348
A	66.829	66.849
SPINNING	66.889	67.229
WHEEL	67.269	67.509
AND	68.571	68.631
AN	68.691	68.751
OLD	68.831	68.951
BOX	69.031	69.251
WIDE	69.432	69.632
OPEN	69.712	69.912
AND	70.032	70.112
STUFFED	70.212	70.533
FULL	70.633	70.833
OF	70.893	70.933
COLOURED	71.033	71.354
RAGS	71.414	71.814
AT	73.096	73.156
THE	73.176	73.296
EDGE	73.376	73.517
OF	73.557	73.617
THIS	73.617	73.817
BOX	73.877	74.097
THERE	74.498	74.658
LIES	74.698	74.939
A	74.959	74.999
GREAT	75.039	75.259
WOODEN	75.439	75.680
DOLL	75.760	76.100
WHICH	76.721	76.921
SO	77.542	77.642
FAR	77.703	77.863
AS	77.963	78.103
MUTILATION	78.123	78.664
IS	78.744	78.824
CONCERNED	78.864	79.365
BEARS	80.026	80.386
A	80.406	80.426
STRONG	80.486	80.867
RESEMBLANCE	81.087	81.668
TO	81.748	81.828
THE	81.888	81.949
FINEST	82.009	82.369
GREEK	82.489	82.690
SCULPTURE	82.810	83.290
AND	83.671	83.751
ESPECIALLY	83.811	84.312
IN	84.332	84.372
THE	84.412	84.532
TOTAL	84.552	84.813
LOSS	84.853	85.093
OF	85.153	85.193
ITS	85.253	85.373
NOSE	85.433	85.754
THE	86.900	86.980
HISTORY	87.021	87.302
OF	87.363	87.403
THE	87.423	87.524
HOUSE	87.524	87.786
IS	87.906	87.947
PLAIN	88.027	88.249
NOW	88.349	88.510
BUT	89.575	89.655
THERE	89.675	89.835
IS	89.915	89.975
ALWAYS	90.075	90.415
A	90.455	90.516
STRONGER	90.576	91.016
SENSE	91.196	91.516
OF	91.616	91.716
LIFE	91.776	92.056
WHEN	92.436	92.556
THE	92.596	92.676
SUN	92.736	92.876
IS	92.956	93.016
BRILLIANT	93.076	93.516
AFTER	93.656	93.877
RAIN	93.957	94.197
AND	95.397	95.477
NOW	95.537	95.717
HE	95.837	95.897
IS	95.997	96.097
POURING	96.137	96.477
DOWN	96.557	96.777
HIS	96.837	96.958
BEAMS	97.038	97.418
AND	97.978	98.058
MAKING	98.098	98.558
SPARKLES	98.658	99.178
AMONG	99.418	99.618
THE	99.658	99.758
WET	99.778	99.958
STRAW	100.139	100.499
AND	101.479	101.559
LIGHTING	101.619	101.979
UP	102.119	102.179
EVERY	102.479	102.719
PATCH	102.839	103.199
OF	103.300	103.400
VIVID	103.460	103.720
GREEN	103.820	104.060
MOSS	104.180	104.520
ON	104.840	104.880
THE	104.940	105.020
RED	105.020	105.220
TILES	105.320	105.760
OF	105.780	105.820
THE	105.840	105.940
COW	105.960	106.100
SHED	106.220	106.481
AND	107.521	107.601
TURNING	107.661	108.081
EVEN	108.201	108.341
THE	108.381	108.461
MUDDY	108.501	108.721
WATER	108.781	109.081
THAT	109.341	109.461
IS	109.521	109.601
HURRYING	109.641	109.962
ALONG	110.062	110.262
THE	110.302	110.422
CHANNEL	110.442	110.742
TO	110.842	110.902
THE	110.942	111.042
DRAIN	111.062	111.382
INTO	112.142	112.322
A	112.442	112.462
MIRROR	112.542	112.883
FOR	113.483	113.583
THE	113.643	113.723
YELLOW	113.763	114.043
BILLED	114.183	114.423
DUCKS	114.523	114.843
WHO	115.423	115.503
ARE	115.583	115.663
SEIZING	115.703	116.023
THE	116.043	116.164
OPPORTUNITY	116.184	116.824
OF	116.964	117.064
GETTING	117.084	117.344
A	117.364	117.384
DRINK	117.444	117.684
WITH	118.324	118.464
AS	118.524	118.584
MUCH	118.644	118.784
BODY	118.864	119.144
IN	119.224	119.265
IT	119.365	119.405
AS	119.585	119.645
POSSIBLE	119.725	120.145
FOR	121.125	121.225
THE	121.285	121.385
GREAT	121.405	121.585
BARN	121.665	121.885
DOORS	121.945	122.246
ARE	122.346	122.426
THROWN	122.466	122.726
WIDE	122.806	123.026
OPEN	123.146	123.346
AND	123.846	123.926
MEN	124.006	124.146
ARE	124.226	124.306
BUSY	124.346	124.566
THERE	124.666	124.907
MENDING	125.187	125.467
THE	125.507	125.567
HARNESS	125.607	125.987
UNDER	126.567	126.727
THE	126.767	126.867
SUPERINTENDENCE	126.927	127.767
OF	127.988	128.028
MISTER	128.128	128.388
GOBY	128.448	128.768
THE	129.328	129.408
WHITTAW	129.428	129.768
OTHERWISE	130.248	130.568
SADDLER	130.668	131.069
WHO	131.709	131.789
ENTERTAINS	131.909	132.369
THEM	132.449	132.589
WITH	132.749	132.869
THE	132.929	133.009
LATEST	133.049	133.389
TREDDLESTON	133.589	134.090
GOSSIP	134.190	134.590
HETTY	135.530	135.770
SORREL	135.890	136.251
OFTEN	136.851	137.071
TOOK	137.151	137.291
THE	137.311	137.451
OPPORTUNITY	137.511	138.152
WHEN	138.572	138.692
HER	138.712	138.812
AUNT'S	138.912	139.152
BACK	139.272	139.472
WAS	139.572	139.692
TURNED	139.772	140.092
OF	140.693	140.733
LOOKING	140.773	141.173
AT	141.293	141.333
THE	141.353	141.453
PLEASING	141.513	141.873
REFLECTION	141.933	142.414
OF	142.534	142.574
HERSELF	142.634	143.054
IN	143.434	143.474
THOSE	143.534	143.734
POLISHED	143.834	144.255
SURFACES	144.415	144.995
FOR	146.055	146.155
THE	146.195	146.296
OAK	146.376	146.476
TABLE	146.616	146.956
WAS	147.136	147.256
USUALLY	147.396	147.796
TURNED	147.896	148.176
UP	148.336	148.397
LIKE	148.537	148.697
A	148.697	148.777
SCREEN	148.817	149.177
AND	149.737	149.817
WAS	149.877	149.977
MORE	150.057	150.217
FOR	150.277	150.397
ORNAMENT	150.538	150.878
THAN	151.198	151.318
FOR	151.378	151.498
USE	151.678	151.838
AND	152.799	152.879
SHE	152.939	153.039
COULD	153.099	153.239
SEE	153.279	153.419
HERSELF	153.479	153.919
SOMETIMES	154.059	154.640
IN	155.000	155.040
THE	155.100	155.200
GREAT	155.220	155.420
ROUND	155.660	156.040
PEWTER	156.220	156.520
DISHES	156.580	156.981
THAT	157.401	157.521
WERE	157.561	157.701
RANGED	157.781	158.181
ON	158.281	158.321
THE	158.361	158.481
SHELVES	158.501	158.962
ABOVE	159.182	159.422
THE	159.442	159.562
LONG	159.622	159.922
DEAL	160.122	160.442
DINNER	160.662	160.903
TABLE	160.963	161.283
OR	161.983	162.063
IN	162.123	162.163
THE	162.203	162.283
HOBS	162.303	162.583
OF	162.643	162.683
THE	162.703	162.824
GRATE	162.844	163.104
WHICH	163.344	163.524
ALWAYS	163.624	163.924
SHONE	163.984	164.264
LIKE	164.364	164.544
JASPER	164.624	165.085
DO	166.266	166.326
NOT	166.406	166.546
SUPPOSE	166.586	166.967
HOWEVER	167.047	167.407
THAT	167.868	168.008
MISSUS	168.068	168.368
POYSER	168.489	168.849
WAS	168.909	169.049
ELDERLY	169.169	169.550
OR	169.750	169.810
SHREWISH	169.910	170.351
IN	170.571	170.611
HER	170.691	170.811
APPEARANCE	170.871	171.372
SHE	172.614	172.714
WAS	172.774	172.974
A	172.994	173.014
GOOD	173.074	173.214
LOOKING	173.254	173.515
WOMAN	173.575	173.875
NOT	174.736	174.916
MORE	174.996	175.177
THAN	175.237	175.377
EIGHT	175.457	175.637
AND	175.717	175.797
THIRTY	175.857	176.158
OF	176.959	177.039
FAIR	177.099	177.319
COMPLEXION	177.399	177.980
AND	178.180	178.260
SANDY	178.320	178.641
HAIR	178.701	178.961
WELL	179.742	179.922
SHAPEN	179.982	180.343
LIGHT	180.884	181.064
FOOTED	181.124	181.424
THE	182.505	182.585
FAMILY	182.645	182.926
LIKENESS	182.986	183.426
BETWEEN	183.626	183.946
HER	184.046	184.246
AND	184.927	185.007
HER	185.047	185.147
NIECE	185.207	185.447
DINAH	185.527	185.807
MORRIS	185.847	186.228
WITH	186.788	186.928
THE	186.968	187.028
CONTRAST	187.088	187.609
BETWEEN	187.749	188.029
HER	188.089	188.249
KEENNESS	188.309	188.829
AND	189.430	189.510
DINAH'S	189.570	190.030
SERAPHIC	190.290	190.790
GENTLENESS	190.971	191.491
OF	191.511	191.551
EXPRESSION	191.651	192.171
MIGHT	192.972	193.132
HAVE	193.172	193.272
SERVED	193.372	193.732
A	193.752	193.772
PAINTER	193.852	194.213
AS	194.553	194.613
AN	194.673	194.713
EXCELLENT	194.833	195.253
SUGGESTION	195.313	195.914
FOR	196.354	196.474
A	196.534	196.554
MARTHA	196.614	196.934
AND	197.054	197.114
MARY	197.154	197.475
HER	198.635	198.756
TONGUE	198.816	199.156
WAS	199.296	199.416
NOT	199.476	199.616
LESS	199.696	199.896
KEEN	199.956	200.197
THAN	200.277	200.397
HER	200.417	200.597
EYE	200.857	200.937
AND	201.537	201.618
WHENEVER	201.658	201.958
A	202.038	202.078
DAMSEL	202.118	202.518
CAME	202.618	202.818
WITHIN	202.878	203.099
EARSHOT	203.219	203.679
SEEMED	204.219	204.439
TO	204.480	204.560
TAKE	204.580	204.760
UP	204.860	204.920
AN	205.100	205.140
UNFINISHED	205.320	205.840
LECTURE	205.900	206.281
AS	206.881	206.941
A	207.021	207.041
BARREL	207.081	207.341
ORGAN	207.482	207.722
TAKES	207.882	208.102
UP	208.202	208.262
A	208.322	208.362
TUNE	208.402	208.702
PRECISELY	209.203	209.863
AT	209.903	209.943
THE	209.963	210.063
POINT	210.103	210.344
WHERE	210.664	210.824
IT	210.904	210.944
HAD	211.004	211.104
LEFT	211.164	211.364
OFF	211.564	211.684
THE	212.906	212.986
FACT	213.046	213.266
THAT	213.326	213.446
IT	213.506	213.547
WAS	213.587	213.687
CHURNING	213.767	214.107
DAY	214.167	214.387
WAS	214.668	214.788
ANOTHER	214.868	215.188
REASON	215.208	215.489
WHY	215.809	215.929
IT	216.009	216.069
WAS	216.109	216.230
INCONVENIENT	216.290	216.970
TO	217.271	217.351
HAVE	217.431	217.631
THE	217.651	217.771
WHITTAWS	217.811	218.232
AND	218.993	219.073
WHY	219.133	219.313
CONSEQUENTLY	219.473	220.154
MISSUS	220.514	220.795
POYSER	220.875	221.275
SHOULD	221.455	221.656
SCOLD	221.716	221.996
MOLLY	222.096	222.437
THE	222.517	222.677
HOUSEMAID	222.717	223.217
WITH	223.398	223.538
UNUSUAL	223.578	224.018
SEVERITY	224.118	224.679
TO	225.881	225.961
ALL	226.021	226.141
APPEARANCE	226.161	226.621
MOLLY	227.082	227.362
HAD	227.482	227.602
GOT	227.662	227.823
THROUGH	227.843	228.223
HER	228.283	228.403
AFTER	228.543	228.763
DINNER	228.824	229.064
WORK	229.124	229.364
IN	229.584	229.624
AN	229.704	229.784
EXEMPLARY	229.845	230.385
MANNER	230.465	230.765
HAD	231.426	231.606
CLEANED	231.706	231.967
HERSELF	232.007	232.407
WITH	232.627	232.767
GREAT	232.787	232.968
DISPATCH	233.028	233.528
AND	234.069	234.149
NOW	234.229	234.409
CAME	234.629	234.809
TO	234.869	234.910
ASK	235.070	235.250
SUBMISSIVELY	235.530	236.231
IF	236.771	236.811
SHE	236.891	237.012
SHOULD	237.092	237.272
SIT	237.332	237.492
DOWN	237.552	237.752
TO	237.832	237.912
HER	237.973	238.073
SPINNING	238.153	238.533
TILL	238.973	239.114
MILKING	239.154	239.454
TIME	239.514	239.814
SPINNING	241.062	241.485
INDEED	241.505	242.211
I	242.977	242.998
NEVER	243.078	243.259
KNEW	243.319	243.420
YOUR	243.440	243.620
EQUALS	243.701	244.123
FOR	244.183	244.304
GALLOWSNESS	244.384	245.027
WHO	245.672	245.772
TAUGHT	245.832	246.073
YOU	246.073	246.174
TO	246.254	246.314
SCRUB	246.375	246.596
A	246.676	246.696
FLOOR	246.776	247.118
I	247.158	247.218
SHOULD	247.580	247.761
LIKE	247.801	247.941
TO	248.002	248.062
KNOW	248.102	248.383
COMB	249.129	249.331
THE	249.432	249.492
WOOL	249.532	249.754
FOR	249.875	249.955
THE	249.995	250.076
WHITTAWS	250.096	250.418
INDEED	250.539	251.002
THAT'S	251.588	251.769
WHAT	251.789	251.889
YOU'D	251.929	252.070
LIKE	252.131	252.271
TO	252.312	252.412
BE	252.432	252.493
DOING	252.553	252.834
IS	252.935	252.995
IT	253.096	253.196
THAT'S	254.242	254.422
THE	254.482	254.543
WAY	254.603	254.703
WITH	254.763	254.884
YOU	254.944	255.064
THAT'S	255.124	255.946
THE	256.007	256.107
ROAD	256.147	256.327
YOU'D	256.388	256.548
ALL	256.628	256.728
LIKE	256.789	256.949
TO	257.009	257.069
GO	257.109	257.410
HEADLONGS	257.591	258.132
TO	258.212	258.293
RUIN	258.353	258.734
MISTER	259.600	259.903
OTTLEY'S	260.004	260.366
INDEED	260.447	260.911
YOU'RE	261.576	261.938
A	261.938	261.998
RARE	262.038	262.239
UN	262.279	262.339
FOR	262.440	262.520
SITTING	262.580	262.781
DOWN	262.821	262.982
TO	263.022	263.102
YOUR	263.142	263.263
WORK	263.283	263.483
A	263.865	263.885
LITTLE	263.945	264.126
WHILE	264.166	264.467
AFTER	264.587	264.768
IT'S	264.848	264.969
TIME	265.009	265.230
TO	265.310	265.370
PUT	265.410	265.551
BY	265.611	265.973
MUNNY	267.116	267.437
MY	267.898	268.158
IRON'S	268.158	268.479
TWITE	268.599	268.839
TOLD	268.960	269.340
PEASE	269.841	270.042
PUT	270.122	270.222
IT	270.302	270.382
DOWN	270.402	270.603
TO	270.663	270.743
WARM	270.823	271.164
COLD	272.348	272.609
IS	272.689	272.749
IT	272.810	272.870
MY	272.910	272.990
DARLING	273.071	273.412
BLESS	273.874	274.115
YOUR	274.175	274.315
SWEET	274.376	274.576
FACE	274.677	274.958
SHE'S	275.623	275.845
GOING	275.865	276.067
TO	276.087	276.168
PUT	276.208	276.369
THE	276.389	276.490
IRONING	276.591	276.853
THINGS	276.914	277.155
AWAY	277.236	277.639
MUNNY	278.806	279.167
I	279.207	279.227
TOULD	279.227	279.968
IKE	280.108	280.209
TO	280.269	280.349
DO	280.389	280.529
INTO	280.689	280.850
DE	280.910	280.970
BARN	281.030	281.391
TO	281.531	281.611
TOMMY	281.691	282.132
TO	282.412	282.492
SEE	282.553	282.693
DE	282.753	282.833
WHITTAWD	282.873	283.354
NO	284.377	284.578
NO	284.758	284.918
NO	285.119	285.400
TOTTY	285.881	286.162
UD	286.242	286.302
GET	286.342	286.443
HER	286.483	286.583
FEET	286.623	286.804
WET	286.904	287.145
SAID	287.586	287.726
MISSUS	287.766	288.027
POYSER	288.087	288.468
CARRYING	288.990	289.331
AWAY	289.391	289.572
HER	289.672	289.772
IRON	289.933	290.113
DID	290.995	291.135
EVER	291.275	291.456
ANYBODY	291.656	292.036
SEE	292.196	292.356
THE	292.416	292.496
LIKE	292.556	292.776
SCREAMED	293.156	293.537
MISSUS	293.557	293.817
POYSER	293.877	294.237
RUNNING	294.817	295.098
TOWARDS	295.178	295.438
THE	295.458	295.578
TABLE	295.638	295.958
WHEN	296.518	296.638
HER	296.699	296.799
EYE	296.979	297.059
HAD	297.139	297.239
FALLEN	297.299	297.619
ON	297.699	297.739
THE	297.779	297.839
BLUE	297.879	298.059
STREAM	298.139	298.500
TOTTY	299.741	300.041
HOWEVER	300.141	300.462
HAD	300.902	301.022
DESCENDED	301.062	301.443
FROM	301.503	301.623
HER	301.683	301.783
CHAIR	301.843	302.084
WITH	302.164	302.304
GREAT	302.344	302.544
SWIFTNESS	302.704	303.205
AND	303.626	303.706
WAS	303.746	303.886
ALREADY	304.026	304.407
IN	304.527	304.567
RETREAT	304.667	305.087
TOWARDS	305.228	305.488
THE	305.508	305.648
DAIRY	305.668	305.988
WITH	306.509	306.669
A	306.669	306.729
SORT	306.769	306.950
OF	307.010	307.110
WADDLING	307.170	307.590
RUN	307.671	307.911
AND	307.951	308.552
AN	308.612	308.692
AMOUNT	308.712	308.952
OF	309.012	309.132
FAT	309.212	309.493
ON	309.853	309.913
THE	309.953	310.033
NAPE	310.073	310.254
OF	310.314	310.394
HER	310.414	310.514
NECK	310.574	310.794
WHICH	311.055	311.215
MADE	311.295	311.475
HER	311.535	311.635
LOOK	311.735	311.936
LIKE	312.096	312.256
THE	312.316	312.396
METAMORPHOSIS	312.436	313.217
OF	313.458	313.498
A	313.558	313.618
WHITE	313.638	313.858
SUCKLING	314.018	314.379
PIG	314.459	314.699
AND	315.764	315.844
SHE	315.905	316.005
WAS	316.066	316.167
VERY	316.207	316.408
FOND	316.448	316.609
OF	316.650	316.710
YOU	316.750	316.831
TOO	316.952	317.113
AUNT	317.254	317.374
RACHEL	317.394	317.696
I	318.483	318.503
OFTEN	318.644	318.865
HEARD	318.926	319.086
HER	319.127	319.207
TALK	319.247	319.428
OF	319.509	319.589
YOU	319.609	319.730
IN	319.770	319.931
THE	319.971	320.052
SAME	320.092	320.293
SORT	320.394	320.555
OF	320.615	320.696
WAY	320.716	321.037
WHEN	321.601	321.701
SHE	321.761	321.841
HAD	321.921	322.062
THAT	322.122	322.302
BAD	322.382	322.603
ILLNESS	322.723	323.104
AND	323.484	323.565
I	323.625	323.645
WAS	323.725	323.825
ONLY	323.925	324.126
ELEVEN	324.166	324.386
YEARS	324.406	324.667
OLD	324.807	324.947
SHE	325.248	325.368
USED	325.448	325.588
TO	325.628	325.689
SAY	325.749	326.069
YOU'LL	326.610	326.831
HAVE	326.871	326.991
A	326.991	327.051
FRIEND	327.071	327.312
ON	327.432	327.472
EARTH	327.572	327.752
IN	327.953	327.993
YOUR	328.033	328.153
AUNT	328.213	328.354
RACHEL	328.414	328.794
IF	329.215	329.275
I'M	329.376	329.476
TAKEN	329.536	329.756
FROM	329.816	329.937
YOU	329.977	330.097
FOR	330.458	330.558
SHE	330.618	330.698
HAS	330.758	330.878
A	330.918	330.979
KIND	330.999	331.239
HEART	331.319	331.560
AND	332.161	332.241
I'M	332.281	332.361
SURE	332.481	332.662
I'VE	332.722	332.882
FOUND	332.922	333.103
IT	333.183	333.223
SO	333.303	333.523
AND	334.746	334.806
THERE'S	334.826	335.066
LINEN	335.066	335.347
IN	335.407	335.447
THE	335.507	335.567
HOUSE	335.607	335.887
AS	336.288	336.348
I	336.448	336.468
COULD	336.528	336.668
WELL	336.688	336.868
SPARE	336.969	337.249
YOU	337.329	337.449
FOR	337.930	338.050
I'VE	338.130	338.210
GOT	338.230	338.390
LOTS	338.410	338.631
O	338.691	338.711
SHEETING	338.811	339.191
AND	339.351	339.431
TABLE	339.512	339.792
CLOTHING	339.832	340.232
AND	340.373	340.453
TOWELLING	340.513	340.993
AS	341.174	341.234
ISN'T	341.314	341.514
MADE	341.554	341.714
UP	341.834	341.914
BUT	342.718	342.798
NOT	342.858	342.999
MORE	343.059	343.199
THAN	343.260	343.340
WHAT'S	343.380	343.541
IN	343.561	343.641
THE	343.641	343.701
BIBLE	343.742	344.063
AUNT	344.244	344.384
SAID	344.766	344.906
DINAH	344.946	345.288
NAY	346.372	346.512
DEAR	346.592	346.752
AUNT	346.873	347.013
YOU	347.795	347.875
NEVER	347.975	348.175
HEARD	348.235	348.416
ME	348.496	348.556
SAY	348.716	348.937
THAT	348.977	349.177
ALL	349.278	349.418
PEOPLE	349.498	349.799
ARE	349.879	349.979
CALLED	349.999	350.320
TO	350.340	350.420
FORSAKE	350.480	350.821
THEIR	350.881	351.021
WORK	351.061	351.242
AND	351.322	351.382
THEIR	351.402	351.542
FAMILIES	351.582	352.083
WE	353.066	353.146
CAN	353.186	353.286
ALL	353.366	353.486
BE	353.546	353.626
SERVANTS	353.706	354.026
OF	354.086	354.167
GOD	354.187	354.467
WHEREVER	354.747	355.087
OUR	355.207	355.308
LOT	355.348	355.548
IS	355.668	355.708
CAST	355.788	356.188
BUT	357.570	357.670
HE	357.710	357.830
GIVES	357.850	358.110
US	358.190	358.270
DIFFERENT	358.410	358.711
SORTS	358.771	358.991
OF	359.071	359.151
WORK	359.191	359.411
ACCORDING	359.992	360.392
AS	360.552	360.592
HE	360.653	360.733
FITS	360.793	361.013
US	361.133	361.213
FOR	361.293	361.473
IT	361.573	361.633
AND	361.714	361.794
CALLS	361.834	362.054
US	362.134	362.214
TO	362.274	362.414
IT	362.534	362.594
I	363.735	363.755
CAN	363.835	363.935
NO	364.035	364.116
MORE	364.216	364.436
HELP	364.476	364.656
SPENDING	364.856	365.196
MY	365.236	365.356
LIFE	365.456	365.716
IN	365.916	365.956
TRYING	366.056	366.357
TO	366.397	366.457
DO	366.517	366.577
WHAT	366.637	366.757
I	366.837	366.857
CAN	366.957	367.217
FOR	367.357	367.437
THE	367.497	367.577
SOULS	367.597	367.877
OF	367.917	367.977
OTHERS	368.037	368.358
THAN	369.138	369.258
YOU	369.318	369.398
COULD	369.438	369.578
HELP	369.598	369.758
RUNNING	369.878	370.239
IF	370.519	370.559
YOU	370.599	370.699
HEARD	370.819	371.039
LITTLE	371.179	371.419
TOTTY	371.479	371.799
CRYING	371.899	372.320
AT	372.400	372.460
THE	372.480	372.560
OTHER	372.620	372.780
END	372.820	372.900
OF	372.940	372.980
THE	373.020	373.080
HOUSE	373.120	373.440
THE	374.501	374.581
VOICE	374.661	374.961
WOULD	375.061	375.201
GO	375.241	375.341
TO	375.461	375.521
YOUR	375.581	375.721
HEART	375.781	376.021
YOU	376.542	376.622
WOULD	376.642	376.782
THINK	376.802	376.922
THE	376.982	377.042
DEAR	377.102	377.262
CHILD	377.362	377.642
WAS	377.702	377.802
IN	377.882	377.942
TROUBLE	378.002	378.382
OR	378.483	378.543
IN	378.623	378.663
DANGER	378.723	379.183
AND	379.823	379.903
YOU	379.943	380.023
COULDN'T	380.083	380.383
REST	380.423	380.724
WITHOUT	381.044	381.364
RUNNING	381.384	381.644
TO	381.684	381.744
HELP	381.804	381.964
HER	382.024	382.124
AND	382.204	382.284
COMFORT	382.324	382.645
HER	382.705	382.805
I'VE	383.726	383.867
STRONG	383.947	384.268
ASSURANCE	384.348	384.890
THAT	384.990	385.111
NO	385.191	385.311
EVIL	385.472	385.692
WILL	385.732	385.873
HAPPEN	385.893	386.114
TO	386.154	386.234
YOU	386.294	386.455
AND	386.595	386.675
MY	386.715	386.816
UNCLE	386.956	387.217
AND	387.317	387.377
THE	387.418	387.498
CHILDREN	387.538	387.959
FROM	388.280	388.401
ANYTHING	388.481	388.782
I'VE	388.862	389.043
DONE	389.103	389.384
I	390.030	390.050
DIDN'T	390.130	390.353
PREACH	390.393	390.635
WITHOUT	390.716	390.978
DIRECTION	391.019	391.544
DIRECTION	392.638	393.266
I	393.853	393.893
HANNA	393.953	394.154
COMMON	394.235	394.536
PATIENCE	394.597	394.979
WITH	395.039	395.160
YOU	395.200	395.441
BY	396.486	396.566
THIS	396.626	396.746
TIME	396.786	397.027
THE	397.067	397.127
TWO	397.187	397.287
GENTLEMEN	397.367	397.768
HAD	397.788	397.868
REACHED	397.908	398.128
THE	398.128	398.248
PALINGS	398.268	398.749
AND	398.929	399.009
HAD	399.029	399.109
GOT	399.149	399.310
DOWN	399.390	399.570
FROM	399.650	399.750
THEIR	399.790	399.910
HORSES	399.950	400.371
IT	401.272	401.312
WAS	401.352	401.432
PLAIN	401.512	401.773
THEY	401.853	401.953
MEANT	401.993	402.153
TO	402.173	402.253
COME	402.293	402.454
IN	402.534	402.714
SAID	403.638	403.758
MISTER	403.818	404.060
IRWINE	404.180	404.502
WITH	404.804	404.924
HIS	404.964	405.045
STATELY	405.125	405.527
CORDIALITY	405.628	406.291
OH	407.360	407.441
SIR	407.521	407.703
DON'T	407.763	407.924
MENTION	407.965	408.247
IT	408.327	408.408
SAID	408.751	408.892
MISSUS	408.932	409.194
POYSER	409.214	409.617
I	410.402	410.422
DELIGHT	410.502	410.803
IN	410.843	410.883
YOUR	410.923	411.043
KITCHEN	411.063	411.484
POYSER	412.288	412.629
IS	412.730	412.790
NOT	412.830	412.930
AT	412.991	413.071
HOME	413.091	413.352
IS	413.412	413.493
HE	413.553	413.734
SAID	414.196	414.336
CAPTAIN	414.396	414.716
DONNITHORNE	414.756	415.317
SEATING	415.738	415.998
HIMSELF	416.038	416.379
