# S5 spot-check: 24 clauses x es/fr/de/pt (+zh from the reference only). ref = gemma-4-26B-A4B pseudo-reference.

## 2 [book] softened by a pale powdery lichen
  es ref          | suavizado por un liquen pálido y polvoriento
  fr m2m418       | Et la porte, je pense, est comme la porte ; elle n’est jamais ouverte.
  fr madlad3b     | Et la porte, je pense, est comme la porte; elle n'est jamais ouverte.
  fr hymt18-q4    | Et la porte, je pense, est comme le portail ; elle ne est jamais ouverte.
  fr qwen35-4b-q4 | et la porte, je pense, est comme la porte d'entrée ; elle n'est jamais ouverte.
  fr gemma4-e4b-q4| et la porte, je pense, est comme la porte ; elle n'est jamais ouverte.
  de ref          | und die Tür, glaube ich, ist wie das Tor; sie wird nie geöffnet.
  de opus         | und die Tür, glaube ich, ist wie das Tor; sie wird nie geöffnet.
  de m2m418       | Und die Tür ist wie die Tür; sie wird nie geöffnet.
  de madlad3b     | Und die Tür, denke ich, ist wie das Tor; es wird niemals geöffnet.
  de hymt18-q4    | Und die Tür – ich denke – ist wie ein Tor; sie wird niemals geöffnet.
  de qwen35-4b-q4 | und die Tür, ich denke, ist wie das Tor; sie wird nie geöffnet.
  de gemma4-e4b-q4| und die Tür, denke ich, ist wie das Tor; sie wird nie geöffnet.
  pt ref          | e a porta, creio eu, é como o portão; nunca se abre.
  pt opus         | E a porta, penso eu, é como a porta; nunca é aberta.
  pt m2m418       | A porta é como a porta, nunca se abre.
  pt madlad3b     | e a porta, eu acho, é como o portão; nunca é aberto.
  pt hymt18-q4    | E a porta, acho que é como um portão; nunca é aberta.
  pt qwen35-4b-q4 | e a porta, acho, é como a porta; ela nunca se abre.
  pt gemma4-e4b-q4| e a porta, eu acho, é como o portão; nunca é aberta.
  zh ref          | 而且那扇门，我觉得，就像那道大门一样；它从未被开启过。

## 26 [book] under the superintendence of Mr. Goby, the whittaw, otherwise saddler,
  es ref          | bajo la superintendencia del Sr. Goby, el curtidor de piel de pescado, por lo demás guarnicionero,
  es opus         | bajo la supervisión del Sr. Goby, el whitaw, de lo contrario, sillín,
  es m2m418       | bajo la superintendencia del señor Goby, el blanco, de otra manera, el sardino,
  es madlad3b     | bajo la supervisión del Sr. Goby, el whittaw, de otra manera el sillier,
  es hymt18-q4    | bajo la supervisión del señor Goby, el blanco, que en realidad es un herrador.
  es qwen35-4b-q4 | bajo la supervisión del Sr. Goby, el herrador, es decir, el zapatero,
  es gemma4-e4b-q4| bajo la superintendencia del señor Goby, el tallador, de otro modo, el arriero,
  fr ref          | sous la surveillance de M. Goby, le tanneur de peau de chagrin, autrement dit sellier,
  fr opus         | sous la supervision de M. Goby, le whittaw, autrement seller,
  fr m2m418       | sous la superintendance du M. Goby, le blanc, autrement saddler,
  fr madlad3b     | sous la supervision de M. Goby, le whittaw, autrement dit le selleur,
  fr hymt18-q4    | Sous la supervision de M. Goby, le blanc, autrement dit le facteur de chevaux.
  fr qwen35-4b-q4 | sous la surveillance de M. Goby, le tanneur, autrement dit le sabotier,
  fr gemma4-e4b-q4| sous la supervision de M. Goby, le sculpteur sur bois, autrement sellier,
  de ref          | unter der Aufsicht von Herrn Goby, dem Lederalbeiter, ansonsten Sattler,
  de opus         | unter der Aufsicht von Mr. Goby, dem Wittau, sonst Sattler,
  de m2m418       | unter der Übermacht von Herr Goby, der Weiß, sonst Saddler,
  de madlad3b     | unter der Aufsicht von Mr. Goby, dem Whitaw, sonst Sattelmacher,
  de hymt18-q4    | unter der Aufsicht von Herrn Goby, dem Farbenmaler – übrigens auch Reiterhändler.
  de qwen35-4b-q4 | unter der Aufsicht des Herrn Goby, des Schnitzers, sonst Schuhmacher,
  de gemma4-e4b-q4| unter der Aufsicht von Herrn Goby, dem Schnitzer, sonst Sattler,
  pt ref          | sob a superintendência do Sr. Goby, o curtidor de couro, senão selador,
  pt opus         | sob a superintendência do Sr. Goby, o whittaw, de outra forma selador,
  pt m2m418       | sob a superintendência do Sr. Goby, o branco, de outra forma, o sadlérico,
  pt madlad3b     | sob a supervisão do Sr. Goby, o whittaw, se não selar,
  pt hymt18-q4    | sob a supervisão do Sr. Goby, o coureiro, por outro lado.
  pt qwen35-4b-q4 | sob a supervisão do Sr. Goby, o talhador, ou, como se diz, sapateiro,
  pt gemma4-e4b-q4| sob a superintendência do Sr. Goby, o whittaw, senhor de selaria,
  zh ref          | 在皮匠戈比先生的监督下，他也是一名马具匠，

## 52 [book] I never knew your equals for gallowsness.
  es ref          | Nunca conocí a nadie que te igualara en su disposición para el patíbulo.
  es opus         | Nunca conocí a tus iguales por horca.
  es m2m418       | Nunca conocía tus iguales por la galosidad.
  es madlad3b     | Nunca conocí a alguien igual a ti en cuanto a la horca.
  es hymt18-q4    | Nunca supe que tus iguales fueran tan despreciables.
  es qwen35-4b-q4 | Nunca conocí tus iguales en gallardía.
  es gemma4-e4b-q4| Nunca conocí tus iguales para la horca.
  fr ref          | Je n'ai jamais connu tes égaux en matière de pendaison.
  fr opus         | Je n'ai jamais connu tes égaux pour la potence.
  fr m2m418       | Je ne connaissais jamais vos équations pour la galosité.
  fr madlad3b     | Je n'ai jamais connu d'égal à toi pour la force.
  fr hymt18-q4    | Je n’ai jamais connu vos égaux pour leur mérite.
  fr qwen35-4b-q4 | Je n'ai jamais connu d'égaux en gallois.
  fr gemma4-e4b-q4| Je n'ai jamais connu tes égaux pour la pendaison.
  de ref          | Ich habe niemals jemanden gekannt, der dir an Galgenfreude etwas nachstand.
  de opus         | Ich kannte deine Gleichen nie für Galgen.
  de m2m418       | Ich wusste nie deine Gleichnisse für Galowness.
  de madlad3b     | Ich habe niemals deine Gleichen für Galgenhaftigkeit gekannt.
  de hymt18-q4    | Ich hatte nie gewusst, dass deine Gleichaltrigen so abscheulich sind.
  de qwen35-4b-q4 | Ich kannte nie jemanden, der dir an Gallowsness gleichkommt.
  de gemma4-e4b-q4| Ich kannte nie deine Gleichgestellten für die Galgenhaftigkeit.
  pt ref          | Nunca conheci ninguém à sua altura no que diz respeito à disposição para o cadafalso.
  pt opus         | Nunca soube que seus iguais eram por forca.
  pt m2m418       | Nunca conheci as suas equações para a galosidade.
  pt madlad3b     | Nunca conheci alguém igual a ti em forca.
  pt hymt18-q4    | Nunca soubei que seus igualmente dignos de morte.
  pt qwen35-4b-q4 | Nunca conheci iguais a você em gallowsness.
  pt gemma4-e4b-q4| Eu nunca soube seus iguais para a pendura.
  zh ref          | 我从未见过比你更该上绞刑架的人。

## 58 [book] Cold, is it, my darling? Bless your sweet face.
  es ref          | ¿Tienes frío, cariño? Bendita sea tu carita.
  es opus         | - ¿Tienes frío, querida?
  es m2m418       | ¿Es frío, mi querida? bendiga tu cara dulce.
  es madlad3b     | ¿Frío, no es así, querida? Bendito sea tu dulce rostro.
  es hymt18-q4    | Frío, ¿verdad, mi amor? Bendice tu dulce rostro.
  es qwen35-4b-q4 | Frío, ¿verdad, mi amor? Bendita tu cara dulce.
  es gemma4-e4b-q4| Frío, ¿es, mi amor? Bendito tu dulce rostro.
  fr ref          | Il fait froid, n'est-ce pas, mon chéri ? Béni soit ton doux visage.
  fr opus         | C'est froid, mon chéri ?
  fr m2m418       | C’est froid, mon cher ? bénis ton visage doux.
  fr madlad3b     | Froid, n'est-ce pas, ma chérie? Que Dieu bénisse ton doux visage.
  fr hymt18-q4    | Froid, n’est-ce pas, mon amour ? Bénis ton beau visage.
  fr qwen35-4b-q4 | Froid, n'est-ce pas, mon bien-aimé ? Bénis ton doux visage.
  fr gemma4-e4b-q4| Froid, est-ce, mon chéri ? Bénis ton doux visage.
  de ref          | Kalt, ist es, mein Liebling? Gott segne dein süßes Gesicht.
  de opus         | - Ist es kalt, mein Schatz?
  de m2m418       | Kälte, ist es, mein süß?Grüßt euer süßes Gesicht.
  de madlad3b     | Ist es kalt, mein Liebling? Segne dein süßes Gesicht.
  de hymt18-q4    | Kalt, nicht wahr, mein Liebster? Gesegnet sei dein süßes Gesicht.
  de qwen35-4b-q4 | Kalt, ist es, mein Liebling? Segen sei deinem süßen Gesicht.
  de gemma4-e4b-q4| Kalt, ist es, mein Liebling? Segen dein süßes Gesicht.
  pt ref          | Está frio, meu querido? Deus abençoe seu rostinho doce.
  pt opus         | - Abençoa a tua cara querida.
  pt m2m418       | Frio, é isso, meu carinho?Bem-aventura a tua cara doce.
  pt madlad3b     | Frio, não é, querida? Abençoe seu rosto doce.
  pt hymt18-q4    | Frio, não é, meu querido? Bendito seja seu rosto doce.
  pt qwen35-4b-q4 | Frio, não é, meu amor? Abençoe seu doce rosto.
  pt gemma4-e4b-q4| Frio, é, meu amor? Abençoe seu rosto doce.
  zh ref          | 冷吗，宝贝？瞧你这张可爱的小脸。

## 60 [book] No, no, no, Totty would get her feet wet, said Mrs. Poyser, carrying away her iron.
  es ref          | —No, no, no, Totty se mojaría los pies —dijo la señora Poyser, llevándose la plancha.
  es opus         | No, no, no, Totty se mojaría los pies, dijo la Sra. Poyser, llevando su hierro.
  es m2m418       | No, no, no, Totty se envuelve los pies, dijo la señora Poyser, llevando su hierro.
  es madlad3b     | No, no, no, Totty se mojaría los pies, dijo la señora Poyser, llevándose la plancha.
  es hymt18-q4    | “No, no, no”, dijo la señora Poyser: “Totty se mojaría con las patas”. Llevaba consigo el hierro.
  es qwen35-4b-q4 | No, no, no, Totty se mojaría los pies, dijo la señora Poyser, llevándose su hierro.
  es gemma4-e4b-q4| No, no, no, Totty se mojaría los pies, dijo la señora Poyser, alejando su hierro.
  fr ref          | Non, non, non, Totty aurait les pieds mouillés, dit Mme Poyser, en emportant son fer.
  fr opus         | Non, non, non, Totty allait se faire mouiller les pieds, a dit Mme Poyser, en emportant son fer.
  fr m2m418       | Non, non, non, Totty serait à ses pieds humides, a dit Mme Poyser, en portant de côté son fer.
  fr madlad3b     | Non, non, non, Totty se mouillerait les pieds, dit Mme Poyser en emportant son fer.
  fr hymt18-q4    | Non, non, non, Totty finirait par se mouiller, dit Mme Poyser, en emportant son fer.
  fr qwen35-4b-q4 | Non, non, non, Totty se mouillerait les pieds, dit Mme Poyser, emportant son fer.
  fr gemma4-e4b-q4| Non, non, non, Totty se mouillerait les pieds, dit Mme Poyser, emportant son fer.
  de ref          | Nein, nein, nein, Totty würde nasse Füße bekommen, sagte Mrs. Poyser, während sie ihr Bügeleisen davontrug.
  de opus         | Nein, nein, nein, Totty würde ihre Füße nass machen, sagte Mrs. Poyser, und trug ihr Eisen weg.
  de m2m418       | Nein, nein, nicht, Totty würde ihre Füße feuchten, sagte Frau Poyser, indem sie ihr Eisen weggeführt hatte.
  de madlad3b     | Nein, nein, nein, Totty würde sich die Füße nass machen, sagte Frau Poyser und trug ihr Bügeleisen weg.
  de hymt18-q4    | Nein, nein, nein – Totty würde sich verbrümpfen, sagte Frau Poyser, während sie ihr Eisen wegtrug.
  de qwen35-4b-q4 | Nein, nein, nein, Totty würde ihre Füße nass bekommen, sagte Mrs. Poyser, die ihren Bügeleisen wegtrug.
  de gemma4-e4b-q4| Nein, nein, nein, Totty würde sich die Füße nass machen, sagte Mrs. Poyser und trug ihr Eisen weg.
  pt ref          | Não, não, não, a Totty ia molhar os pés, disse a Sra. Poyser, levando o ferro embora.
  pt opus         | Não, não, Totty iria molhar os pés, disse a Sra. Poyser, carregando o ferro.
  pt m2m418       | Não, não, não, Totty vai ficar com os pés úmidos, disse a senhora Poyser, levando o ferro.
  pt madlad3b     | Não, não, não, Totty iria molhar os pés, disse a Sra. Poyser, levando o ferro.
  pt hymt18-q4    | Não, não, não, Totty acabaria se molhando, disse a Sra. Poyser, enquanto levava embora o ferro.
  pt qwen35-4b-q4 | Não, não, não, Totty molharia os pés, disse a Sra. Poyser, levando embora o ferro.
  pt gemma4-e4b-q4| Não, não, não, Totty molharia os pés, disse a Sra. Poyser, levando seu ferro.
  zh ref          | “不，不，不，托蒂会弄湿脚的，”波伊瑟太太一边说着，一边把熨斗拿走。

## 72 [book] But not more than what's in the Bible, aunt, said Dinah.
  es ref          | —Pero no más de lo que dice la Biblia, tía —dijo Dinah.
  es opus         | Pero no más de lo que está en la Biblia, tía, dijo Dinah.
  es m2m418       | Pero no más que lo que está en la Biblia, dije Dinah.
  es madlad3b     | Pero no más de lo que está en la Biblia, tía, dijo Dinah.
  es hymt18-q4    | Pero no más de lo que está en la Biblia, tía, dijo Dinah.
  es qwen35-4b-q4 | Pero no más de lo que hay en la Biblia, tía, dijo Dinah.
  es gemma4-e4b-q4| Pero no más de lo que está en la Biblia, tía, dijo Dinah.
  fr ref          | — Mais pas plus que ce qu'il y a dans la Bible, tante, dit Dinah.
  fr opus         | Mais pas plus que ce qui est dans la Bible, tante, a dit Dinah.
  fr m2m418       | Mais pas plus que ce qui est dans la Bible, dit Mme Dinah.
  fr madlad3b     | Mais pas plus que ce qui est dans la Bible, tante, dit Dinah.
  fr hymt18-q4    | Mais pas plus que ce qui est dans la Bible, dit Dinah.
  fr qwen35-4b-q4 | Mais pas plus que ce qui est dans la Bible, tante, dit Dinah.
  fr gemma4-e4b-q4| Mais pas plus que ce qui est dans la Bible, tante, dit Dinah.
  de ref          | „Aber nicht mehr als das, was in der Bibel steht, Tante“, sagte Dinah.
  de opus         | Aber nicht mehr als das, was in der Bibel steht, sagte Dina.
  de m2m418       | Aber nicht mehr als was in der Bibel ist, sagte Dina.
  de madlad3b     | Aber nicht mehr als in der Bibel steht, Tante, sagte Dinah.
  de hymt18-q4    | Aber nicht mehr als das, was in der Bibel steht, sagte Dinah.
  de qwen35-4b-q4 | Aber nicht mehr, als in der Bibel steht, Tante, sagte Dinah.
  de gemma4-e4b-q4| Aber nicht mehr als was in der Bibel steht, Tante, sagte Dinah.
  pt ref          | — Mas não mais do que o que está na Bíblia, tia — disse Dinah.
  pt opus         | Mas não mais do que o que está na Bíblia, tia, disse Dinah.
  pt m2m418       | Mas não mais do que o que está na Bíblia, disse a tia Dinah.
  pt madlad3b     | Mas não mais do que o que está na Bíblia, tia, disse Dinah.
  pt hymt18-q4    | Mas não mais do que o que está na Bíblia, tia, disse Dinah.
  pt qwen35-4b-q4 | Mas não mais do que o que está na Bíblia, tia, disse Dinah.
  pt gemma4-e4b-q4| Mas não mais do que o que está na Bíblia, tia, disse Diná.
  zh ref          | “但不能比圣经里写的更多，姨妈，”迪娜说道。

## 119 [sermon] She happened to.
  es ref          | Resultó que ella.
  es opus         | Ella lo hizo.
  es m2m418       | Ella sucedió con.
  es madlad3b     | Ella pasó a ser.
  es hymt18-q4    | Por casualidad.
  es qwen35-4b-q4 | Le sucedió.
  es gemma4-e4b-q4| Ella sucedió a.
  fr ref          | Elle se trouvait par hasard.
  fr opus         | Elle est arrivée à.
  fr m2m418       | Elle est arrivée.
  fr madlad3b     | Elle l'a fait.
  fr hymt18-q4    | Elle a eu la chance.
  fr qwen35-4b-q4 | Elle s'est trouvée.
  fr gemma4-e4b-q4| Elle y était par hasard.
  de ref          | Sie kam zufällig dazu.
  de opus         | Sie ist es passiert.
  de m2m418       | Sie geschah zu.
  de madlad3b     | Sie kam zufällig.
  de hymt18-q4    | Es geschah einfach so.
  de qwen35-4b-q4 | Sie kam gerade dazu.
  de gemma4-e4b-q4| Es geschah zufällig.
  pt ref          | Ela por acaso.
  pt opus         | Aconteceu com ela.
  pt m2m418       | Ela aconteceu com.
  pt madlad3b     | Ela aconteceu.
  pt hymt18-q4    | Ela aconteceu por acaso.
  pt qwen35-4b-q4 | Ela acabou por.
  pt gemma4-e4b-q4| Aconteceu por acaso.
  zh ref          | 她碰巧。

## 130 [sermon] showed up at our door every Tuesday with a casserole.
  es ref          | aparecía en nuestra puerta cada martes con una cazuela.
  es opus         | Apareció en nuestra puerta todos los martes con una cazuela.
  es m2m418       | Aparecía a nuestra puerta todos los martes con un casserol.
  es madlad3b     | El señor se presentaba en nuestra puerta todos los martes con una cazuela.
  es hymt18-q4    | Llegaba a nuestra puerta cada martes con una cazuela.
  es qwen35-4b-q4 | se presentaba en nuestra puerta cada martes con un guiso.
  es gemma4-e4b-q4| aparecía en nuestra puerta cada martes con una cazuela.
  fr ref          | passait à notre porte tous les mardis avec un plat à gratin.
  fr opus         | On est venus tous les mardis avec une casserole.
  fr m2m418       | Il se rendit à la porte chaque mardi avec un casserole.
  fr madlad3b     | Tous les mardis, il se présentait à notre porte avec une casserole.
  fr hymt18-q4    | Il se présentait à notre porte tous les mardis avec une casserole.
  fr qwen35-4b-q4 | venait chaque mardi chez nous avec un plat cuisiné.
  fr gemma4-e4b-q4| se présentait à notre porte tous les mardis avec une casserole.
  de ref          | tauchte jeden Dienstag mit einem Auflauf an unserer Tür auf.
  de opus         | Er kam jeden Dienstag mit einer Kasserolle an unsere Tür.
  de m2m418       | Wir waren jeden Dienstag mit einem Kasserole an unserer Tür.
  de madlad3b     | Jeden Dienstag kam sie mit einem Auflauf an unsere Tür.
  de hymt18-q4    | Kam jeden Dienstag an unsere Tür mit einem Gericht.
  de qwen35-4b-q4 | kam jeden Dienstag mit einem Auflauf zu unserer Tür.
  de gemma4-e4b-q4| tauchte jeden Dienstag mit einer Auflaufform vor unserer Tür auf.
  pt ref          | aparecia à nossa porta toda terça-feira com uma travessa de comida.
  pt opus         | Apareceu à nossa porta toda terça-feira com uma caçarola.
  pt m2m418       | Ele apareceu à nossa porta todos os martes com um casserol.
  pt madlad3b     | Ele apareceu na nossa porta todas as terças-feiras com uma caçarola.
  pt hymt18-q4    | Chegava à nossa porta todos os terças-feiras com uma casserole.
  pt qwen35-4b-q4 | aparecia na nossa porta toda terça-feira com um casserole.
  pt gemma4-e4b-q4| apareceu em nossa porta toda terça-feira com uma torta.
  zh ref          | 每个星期二都会带着砂锅菜出现在我们家门口。

## 144 [sermon] and give us the courage to be generous. Amen.
  es ref          | y danos el valor para ser generosos. Amén.
  es opus         | y nos da el valor de ser generosos. Amén.
  es m2m418       | y nos da el valor de ser generosos. amen.
  es madlad3b     | Y danos el valor de ser generosos. Amén.
  es hymt18-q4    | Y dánosenos el coraje de ser generosos. Amén.
  es qwen35-4b-q4 | y dínos la valentía para ser generosos. Amén.
  es gemma4-e4b-q4| y danos el coraje de ser generosos. Amén.
  fr ref          | et donne-nous le courage d'être généreux. Amen.
  fr opus         | et nous donne le courage d'être généreux. Amen.
  fr m2m418       | Et donne-nous le courage d’être généreux.
  fr madlad3b     | Donne-nous le courage d’être généreux. Amen.
  fr hymt18-q4    | Et donnez-nous le courage d’être généreux. Amen.
  fr qwen35-4b-q4 | et nous donner le courage d'être généreux. Amen.
  fr gemma4-e4b-q4| et donne-nous le courage d'être généreux. Amen.
  de ref          | und gib uns den Mut, großzügig zu sein. Amen.
  de opus         | und gib uns den Mut, großzügig zu sein. Amen.
  de m2m418       | und geben uns den Mut, großzügig zu sein. Amen.
  de madlad3b     | Und gib uns den Mut, großzügig zu sein. Amen.
  de hymt18-q4    | Und gebt uns den Mut, großzügig zu sein. Amen.
  de qwen35-4b-q4 | und geben uns den Mut, großzügig zu sein. Amen.
  de gemma4-e4b-q4| und gib uns den Mut zur Großzügigkeit. Amen.
  pt ref          | e dê-nos coragem para sermos generosos. Amém.
  pt opus         | E dá-nos a coragem de sermos generosos.
  pt m2m418       | e dê-nos a coragem de ser generosos.
  pt madlad3b     | e nos dê a coragem de ser generosos. Amém.
  pt hymt18-q4    | E dê-nos a coragem de ser generosos. Amém.
  pt qwen35-4b-q4 | e nos dê a coragem de ser generosos. Amém.
  pt gemma4-e4b-q4| e nos dê a coragem de sermos generosos. Amém.
  zh ref          | 并赐予我们慷慨施予的勇气。阿们。

## 165 [meeting] Second.
  es ref          | Secundo.
  es opus         | Segundo.
  es m2m418       | El segundo .
  es madlad3b     | Segundo.
  es hymt18-q4    | Segundo.
  es qwen35-4b-q4 | Segundo.
  es gemma4-e4b-q4| Segundo.
  fr ref          | Appuyé.
  fr opus         | Deuxième.
  fr m2m418       | Deuxième .
  fr madlad3b     | Deuxièmement.
  fr hymt18-q4    | Deuxièmement.
  fr qwen35-4b-q4 | Deuxième.
  fr gemma4-e4b-q4| Deuxième.
  de ref          | Zweitens.
  de opus         | Zweitens.
  de m2m418       | Zweiter .
  de madlad3b     | Zweitens.
  de hymt18-q4    | Zweitens.
  de qwen35-4b-q4 | Zweitens.
  de gemma4-e4b-q4| Zweitens.
  pt ref          | Secundo.
  pt opus         | Segundo.
  pt m2m418       | segundo .
  pt madlad3b     | Segundo.
  pt hymt18-q4    | Segundo.
  pt qwen35-4b-q4 | Segundo.
  pt gemma4-e4b-q4| Segundo.
  zh ref          | 赞成。

## 196 [chat] Exactly, the parking is still a nightmare.
  es ref          | Exactamente, el estacionamiento sigue siendo una pesadilla.
  es opus         | Exactamente, el estacionamiento sigue siendo una pesadilla.
  es m2m418       | El aparcamiento es un pesadilla.
  es madlad3b     | Exactamente, el aparcamiento sigue siendo una pesadilla.
  es hymt18-q4    | Exacto, el estacionamiento sigue siendo un verdadero caos.
  es qwen35-4b-q4 | Exacto, el aparcamiento sigue siendo un infierno.
  es gemma4-e4b-q4| Exacto, el estacionamiento sigue siendo una pesadilla.
  fr ref          | Exactement, le stationnement est toujours un cauchemar.
  fr opus         | Exactement, le parking est toujours un cauchemar.
  fr m2m418       | Le parking est encore un cauchemar.
  fr madlad3b     | Exactement, le parking est toujours un cauchemar.
  fr hymt18-q4    | Exactement, le parking reste un cauchemar.
  fr qwen35-4b-q4 | Exactement, le parking reste un cauchemar.
  fr gemma4-e4b-q4| Exactement, le stationnement est toujours un cauchemar.
  de ref          | Genau, das Parken ist immer noch ein Albtraum.
  de opus         | Genau, der Parkplatz ist immer noch ein Alptraum.
  de m2m418       | Der Parkplatz ist noch ein Albtraum.
  de madlad3b     | Genau, das Parken ist immer noch ein Albtraum.
  de hymt18-q4    | Genau, der Parkplatz ist immer noch ein Albtraum.
  de qwen35-4b-q4 | Genau, die Parkplätze sind immer noch ein Albtraum.
  de gemma4-e4b-q4| Genau, das Parken ist immer noch ein Albtraum.
  pt ref          | Exatamente, o estacionamento ainda é um pesadelo.
  pt opus         | O estacionamento ainda é um pesadelo.
  pt m2m418       | O estacionamento é um pesadelo.
  pt madlad3b     | Exatamente, o estacionamento ainda é um pesadelo.
  pt hymt18-q4    | Exatamente, o estacionamento ainda é um pesadelo.
  pt qwen35-4b-q4 | Exatamente, o estacionamento ainda é um pesadelo.
  pt gemma4-e4b-q4| Exatamente, o estacionamento ainda é um pesadelo.
  zh ref          | 没错，停车还是跟噩梦一样。

## 205 [chat] I know, right? It feels like yesterday she was learning to ride a bike.
  es ref          | ¿Verdad? Parece que fue ayer cuando estaba aprendiendo a andar en bicicleta.
  es opus         | Lo sé, ¿verdad?
  es m2m418       | Se siente como si ayer aprendiera a andar en bicicleta.
  es madlad3b     | Lo sé, ¿verdad?, parece que ayer estaba aprendiendo a montar en bicicleta.
  es hymt18-q4    | Lo sé, ¿verdad? Parece como si ayer estuviera aprendiendo a montar en bicicleta.
  es qwen35-4b-q4 | ¿No lo sabes? Parece que fue ayer cuando aprendió a montar en bicicleta.
  es gemma4-e4b-q4| Lo sé, ¿verdad? Parece que fue ayer cuando estaba aprendiendo a montar en bicicleta.
  fr ref          | Je sais, pas vrai ? On dirait que c'était hier qu'elle apprenait à faire du vélo.
  fr opus         | Je sais, on dirait qu'hier elle a appris à faire du vélo.
  fr m2m418       | Il se sent comme si elle avait appris à monter sur une moto.
  fr madlad3b     | Je sais, c'est comme si elle avait appris à faire du vélo hier.
  fr hymt18-q4    | Je sais, n’est-ce pas ? On a l’impression que ce n’était que hier, elle apprenait à faire du vélo.
  fr qwen35-4b-q4 | Je sais, n'est-ce pas ? Ça fait comme hier qu'elle apprenait à faire du vélo.
  fr gemma4-e4b-q4| Je sais, n'est-ce pas ? On dirait que c'était hier qu'elle apprenait à faire du vélo.
  de ref          | Ich weiß, oder? Es fühlt sich an, als wäre es erst gestern gewesen, dass sie Fahrradfahren gelernt hat.
  de opus         | Es fühlt sich an, als ob sie gestern Fahrrad fahren gelernt hat.
  de m2m418       | Es fühlt sich so, als würde sie gestern lernen, ein Fahrrad zu fahren.
  de madlad3b     | Ich weiß, es fühlt sich an, als ob sie gestern noch das Fahrradfahren gelernt hätte.
  de hymt18-q4    | Ich weiß, oder? Es fühlt sich an, als wäre es gestern – als sie lernte, mit dem Fahrrad zu fahren.
  de qwen35-4b-q4 | Weißt du, ja? Es fühlt sich an, als wäre es gestern, als sie lernte, ein Fahrrad zu fahren.
  de gemma4-e4b-q4| Ich weiß, oder? Es fühlt sich an, als wäre es gestern gewesen, als sie Fahrradfahren gelernt hat.
  pt ref          | Né? Parece que foi ontem que ela estava aprendendo a andar de bicicleta.
  pt opus         | Parece que ontem ela estava a aprender a andar de bicicleta.
  pt m2m418       | É como se ela tivesse aprendido a andar de bicicleta.
  pt madlad3b     | Eu sei, certo? Parece que ontem ela estava aprendendo a andar de bicicleta.
  pt hymt18-q4    | Eu sei, não é? Parece que ontem ela estava aprendendo a andar de bicicleta.
  pt qwen35-4b-q4 | Sabe, não é? Parece que foi ontem que ela estava aprendendo a andar de bicicleta.
  pt gemma4-e4b-q4| Eu sei, né? Parece que foi ontem que ela estava aprendendo a andar de bicicleta.
  zh ref          | 可不是吗？感觉她昨天还在学骑自行车呢。

## 218 [stream] Yes! Let's go! We finally did it!
